OBJECTID,Asset ID,Suburb,Street,Parking restriction Sign Type,Sign Category,Sign Status,Sign owner,BCC Code For Signs,Sign Direction,Sign is Temporary,Related Signs,Multi-sign Plate,Additional Sign Text,ParkingRestrictionDaysandTimes,SAP Object Number,SAP ID Number,Parking Restriction Code,GlobalID,geo_shape,geo_point_2d,Suburb_List,Latitude,Longitude,Parking_Restriction_Type
5997,SN-10-1000-1291742,CANNON HILL,CAMELIA STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100314596,IE000000000100314596,43,c392aee2-e2ba-4151-b0d5-b8c31389c284,"{""coordinates"": [153.08470189273112, -27.47056247602071], ""type"": ""Point""}","-27.47056247602071, 153.08470189273112","C, CANNON HILL",-27.47056247602071,153.08470189273112,Loading Zone Passengers 2 Min. Max
6001,SN-30-1000-2085853,WOOLLOONGABBA,HOLDEN STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,4L,Left,0,1,0,,,000000000100466181,IE000000000100466181,43,902c784d-9c6e-4a22-9653-2edb6ca477f6,"{""coordinates"": [153.04122333730314, -27.490715847994274], ""type"": ""Point""}","-27.490715847994274, 153.04122333730314","W, WOOLLOONGABBA",-27.490715847994274,153.04122333730314,Loading Zone Passengers 2 Min. Max
6050,SN-10-1000-1264525,SALISBURY,FREWIN STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYD,Bi-Directional,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100315821,IE000000000100315821,43,2573b50b-1d5e-4053-9f95-6e89cf42e7ed,"{""coordinates"": [153.02349407473812, -27.550606231695475], ""type"": ""Point""}","-27.550606231695475, 153.02349407473812","S, SALISBURY",-27.550606231695475,153.02349407473812,Loading Zone Passengers 2 Min. Max
6054,SN-10-1000-1302031,RUNCORN,HILL ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100315919,IE000000000100315919,43,6ace8cb1-dcca-4f8f-ba33-f58d59b72271,"{""coordinates"": [153.07795886962396, -27.593263437840864], ""type"": ""Point""}","-27.593263437840864, 153.07795886962396","R, RUNCORN",-27.593263437840864,153.07795886962396,Loading Zone Passengers 2 Min. Max
6061,SN-10-1000-1258654,SOUTH BRISBANE,CORDELIA STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45FL,Left,0,1,0,"2 MIN MAX,20 MINS MAX","MON-FRI:9:00AM-4:00PM ,SAT:8:00AM-12:00PM",000000000100316099,IE000000000100316099,45,24f0c8aa-748e-4762-b5cb-db0ed7a273d2,"{""coordinates"": [153.01776723061565, -27.478736411461774], ""type"": ""Point""}","-27.478736411461774, 153.01776723061565","S, SOUTH BRISBANE",-27.478736411461774,153.01776723061565,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
6079,SN-10-1000-1312695,BRISBANE CITY,DIDDAMS LANE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45AR,Right,0,1,1,"2 MIN MAX,20 MINS MAX",ALL OTHER TIMES:-,000000000100316491,IE000000000100316491,45,cbfcefa6-acc9-45a2-a4ce-cfd6413bedab,"{""coordinates"": [153.03194959340925, -27.462258828608704], ""type"": ""Point""}","-27.462258828608704, 153.03194959340925","B, BRISBANE CITY",-27.462258828608704,153.03194959340925,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
6126,SN-10-1000-1233250,FORTITUDE VALLEY,JAMES STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100317467,IE000000000100317467,45,c9d60752-ee0d-4ee9-8c17-5e985182e137,"{""coordinates"": [153.04005834526816, -27.456947118294355], ""type"": ""Point""}","-27.456947118294355, 153.04005834526816","F, FORTITUDE VALLEY",-27.456947118294355,153.04005834526816,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
6208,SN-10-1000-1177832,SOUTH BRISBANE,GREY STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100313876,IE000000000100313876,45,b9cbd133-1a9a-4b4d-a216-b338c24d1375,"{""coordinates"": [153.02328470459747, -27.480981525571952], ""type"": ""Point""}","-27.480981525571952, 153.02328470459747","S, SOUTH BRISBANE",-27.480981525571952,153.02328470459747,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
6227,SN-10-1000-1166432,WOOLLOONGABBA,LOGAN ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,1,2 MIN MAX,,000000000100314257,IE000000000100314257,43,f48ecdb3-f229-4c28-aa09-dd3ffa7bd9f6,"{""coordinates"": [153.04121794309873, -27.49652384966746], ""type"": ""Point""}","-27.49652384966746, 153.04121794309873","W, WOOLLOONGABBA",-27.49652384966746,153.04121794309873,Loading Zone Passengers 2 Min. Max
6256,SN-10-1000-1130899,BRISBANE CITY,ROMA STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100314838,IE000000000100314838,43,6e0b4398-27c3-4793-9ed1-6156e7b53804,"{""coordinates"": [153.0229313723326, -27.468076213272983], ""type"": ""Point""}","-27.468076213272983, 153.0229313723326","B, BRISBANE CITY",-27.468076213272983,153.0229313723326,Loading Zone Passengers 2 Min. Max
